Infotrol,
16:22:10,viernes, 22 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
22/01 14:22:53,-18,0,0,                    ,132,-19.36
22/01 14:22:54,-18,0,0,                    ,132,-21.78
22/01 14:22:55,-18,0,0,                    ,132,-21.78
22/01 14:22:56,-18,0,0,                    ,132,-21.78
22/01 14:22:57,-19,0,0,                    ,134,-21.78
22/01 14:22:58,-19,0,0,                    ,134,-21.78
22/01 14:22:59,-19,0,0,                    ,134,-22.99
22/01 14:23:00,-19,0,0,                    ,134,-22.99
22/01 14:23:01,-18,0,0,                    ,136,-22.99
22/01 14:23:02,-18,0,0,                    ,136,-22.99
22/01 14:23:03,-18,0,0,                    ,136,-21.78
22/01 14:23:04,-19,0,0,                    ,137,-21.78
22/01 14:23:05,-19,0,0,                    ,137,-22.99
22/01 14:23:06,-19,0,0,                    ,137,-22.99
22/01 14:23:07,-19,0,0,                    ,137,-22.99
22/01 14:23:08,-19,0,0,                    ,137,-22.99
22/01 14:23:09,-19,0,0,                    ,137,-22.99
22/01 14:23:10,-19,0,0,                    ,139,-22.99
22/01 14:23:11,-19,0,0,                    ,139,-22.99
22/01 14:23:12,-19,0,0,                    ,139,-22.99
22/01 14:23:13,-19,0,0,                    ,139,-22.99
22/01 14:23:15,-19,0,0,                    ,141,-22.99
22/01 14:23:16,-19,0,0,                    ,141,-22.99
22/01 14:23:17,-19,0,0,                    ,141,-22.99
22/01 14:23:18,-19,0,0,                    ,141,-22.99
22/01 14:23:19,-19,0,0,                    ,141,-22.99
22/01 14:23:20,-19,0,0,                    ,142,-22.99
22/01 14:23:21,-19,0,0,                    ,142,-22.99
22/01 14:23:22,-19,0,0,                    ,143,-22.99
22/01 14:23:23,-19,0,0,                    ,143,-22.99
22/01 14:23:24,-19,0,0,                    ,144,-22.99
22/01 14:23:25,-19,0,0,                    ,144,-22.99
22/01 14:23:26,-19,0,0,                    ,144,-22.99
22/01 14:23:27,-19,0,0,                    ,144,-22.99
22/01 14:23:28,-19,0,0,                    ,144,-22.99
22/01 14:23:29,-19,0,0,                    ,146,-22.99
22/01 14:23:30,-19,0,0,                    ,146,-22.99
22/01 14:23:31,-19,0,0,                    ,146,-22.99
22/01 14:23:32,-19,0,0,                    ,147,-22.99
22/01 14:23:33,-19,0,0,                    ,147,-22.99
22/01 14:23:34,-19,0,0,                    ,148,-22.99
22/01 14:23:35,-19,0,0,                    ,148,-22.99
22/01 14:23:36,-18,0,0,                    ,149,-22.99
22/01 14:23:37,-18,0,0,                    ,149,-22.99
22/01 14:23:38,-18,0,0,                    ,149,-21.78
22/01 14:23:39,-18,0,0,                    ,149,-21.78
22/01 14:23:40,-18,0,0,                    ,149,-21.78
22/01 14:23:41,-19,0,0,                    ,151,-21.78
22/01 14:23:42,-19,0,0,                    ,151,-22.99
22/01 14:23:43,-19,0,0,                    ,152,-22.99
22/01 14:23:44,-19,0,0,                    ,152,-22.99
22/01 14:23:45,-19,0,0,                    ,152,-22.99
22/01 14:23:46,-19,0,0,                    ,152,-22.99
22/01 14:23:47,-19,0,0,                    ,154,-22.99
22/01 14:23:48,-19,0,0,                    ,154,-22.99
22/01 14:23:49,-19,0,0,                    ,155,-22.99
22/01 14:23:50,-19,0,0,                    ,155,-22.99
22/01 14:23:51,-19,0,0,                    ,155,-22.99
22/01 14:23:52,-19,0,0,                    ,155,-22.99
22/01 14:23:53,-19,0,0,                    ,155,-22.99
22/01 14:23:54,-19,0,0,                    ,156,-22.99
22/01 14:23:55,-19,0,0,                    ,156,-22.99
22/01 14:23:56,-18,0,0,                    ,157,-22.99
22/01 14:23:57,-18,0,0,                    ,157,-22.99
22/01 14:23:58,-18,0,0,                    ,157,-21.78
22/01 14:23:59,-18,0,0,                    ,157,-21.78
22/01 14:24:00,-19,0,0,                    ,159,-21.78
22/01 14:24:01,-19,0,0,                    ,159,-21.78
22/01 14:24:02,-19,0,0,                    ,159,-22.99
22/01 14:24:03,-19,0,0,                    ,160,-22.99
22/01 14:24:04,-19,0,0,                    ,160,-22.99
22/01 14:24:05,-19,0,0,                    ,160,-22.99
22/01 14:24:06,-19,0,0,                    ,160,-22.99
22/01 14:24:07,-18,0,0,                    ,162,-22.99
22/01 14:24:08,-18,0,0,                    ,162,-22.99
22/01 14:24:09,-18,0,0,                    ,162,-21.78
22/01 14:24:10,-18,0,0,                    ,162,-21.78
22/01 14:24:11,-18,0,0,                    ,162,-21.78
22/01 14:24:12,-19,0,0,                    ,164,-21.78
22/01 14:24:13,-19,0,0,                    ,164,-22.99
22/01 14:24:14,-19,0,0,                    ,165,-22.99
22/01 14:24:15,-19,0,0,                    ,165,-22.99
22/01 14:24:16,-19,0,0,                    ,165,-22.99
22/01 14:24:17,-19,0,0,                    ,165,-22.99
22/01 14:24:18,-19,0,0,                    ,165,-22.99
22/01 14:24:19,-19,0,0,                    ,166,-22.99
22/01 14:24:20,-19,0,0,                    ,166,-22.99
22/01 14:24:21,-19,0,0,                    ,167,-22.99
22/01 14:24:22,-19,0,0,                    ,167,-22.99
22/01 14:24:23,-19,0,0,                    ,167,-22.99
22/01 14:24:25,-19,0,0,                    ,167,-22.99
22/01 14:24:26,-19,0,0,                    ,169,-22.99
22/01 14:24:27,-19,0,0,                    ,169,-22.99
22/01 14:24:28,-19,0,0,                    ,170,-22.99
22/01 14:24:29,-19,0,0,                    ,170,-22.99
22/01 14:24:30,-19,0,0,                    ,170,-22.99
22/01 14:24:31,-18,0,0,                    ,171,-22.99
22/01 14:24:32,-18,0,0,                    ,171,-21.78
22/01 14:24:33,-19,0,0,                    ,172,-21.78
22/01 14:24:34,-19,0,0,                    ,172,-22.99
22/01 14:24:35,-19,0,0,                    ,172,-22.99
22/01 14:24:36,-19,0,0,                    ,172,-22.99
22/01 14:24:37,-19,0,0,                    ,174,-22.99
22/01 14:24:38,-19,0,0,                    ,174,-22.99
22/01 14:24:39,-18,0,0,                    ,175,-22.99
22/01 14:24:40,-18,0,0,                    ,175,-22.99
22/01 14:24:41,-18,0,0,                    ,175,-21.78
22/01 14:24:42,-18,0,0,                    ,175,-21.78
22/01 14:24:43,-18,0,0,                    ,175,-21.78
22/01 14:24:44,-18,0,0,                    ,175,-21.78
22/01 14:24:45,-18,0,0,                    ,175,-21.78
22/01 14:24:46,-22,0,0,                    ,177,-21.78
22/01 14:24:47,-22,0,0,                    ,177,-21.78
22/01 14:24:48,-22,0,0,                    ,177,-26.62
22/01 14:24:49,-22,0,0,                    ,177,-26.62
22/01 14:24:50,-22,0,0,                    ,177,-26.62
22/01 14:24:51,-19,0,0,                    ,179,-26.62
22/01 14:24:52,-19,0,0,                    ,179,-22.99
22/01 14:24:53,-19,0,0,                    ,179,-22.99
22/01 14:24:54,-19,0,0,                    ,179,-22.99
22/01 14:24:55,-22,0,0,                    ,180,-22.99
22/01 14:24:56,-22,0,0,                    ,180,-22.99
22/01 14:24:57,-21,0,0,                    ,182,-26.62
22/01 14:24:58,-21,0,0,                    ,182,-26.62
22/01 14:24:59,-21,0,0,                    ,182,-25.41
22/01 14:25:00,-19,0,0,                    ,183,-25.41
22/01 14:25:01,-19,0,0,                    ,183,-22.99
22/01 14:25:02,-19,0,0,                    ,183,-22.99
22/01 14:25:03,-19,0,0,                    ,183,-22.99
22/01 14:25:04,-21,0,0,                    ,185,-22.99
