Infotrol,
13:09:09,jueves, 21 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
21/01 11:06:47,0,0,0,                    ,0,0
21/01 11:06:48,0,0,0,                    ,0,0
21/01 11:06:49,0,0,0,                    ,0,0
21/01 11:06:50,0,0,0,                    ,0,0
21/01 11:06:51,0,0,0,                    ,0,0
21/01 11:06:52,0,0,0,                    ,0,0
21/01 11:06:53,0,0,0,                    ,0,0
21/01 11:06:54,0,0,0,                    ,0,0
21/01 11:06:55,0,0,0,                    ,0,0
21/01 11:06:56,0,0,0,                    ,0,0
21/01 11:06:57,0,0,0,                    ,0,0
21/01 11:06:58,0,0,0,                    ,0,0
21/01 11:06:59,0,0,0,                    ,0,0
21/01 11:07:00,0,0,0,                    ,0,0
21/01 11:07:01,0,0,0,                    ,0,0
21/01 11:07:02,0,0,0,                    ,0,0
21/01 11:07:03,0,0,0,                    ,0,0
21/01 11:07:04,0,0,0,                    ,0,0
21/01 11:07:05,0,0,0,                    ,0,0
21/01 11:07:06,0,0,0,                    ,0,0
21/01 11:07:08,0,0,0,                    ,0,0
21/01 11:07:09,0,0,0,                    ,0,0
21/01 11:07:10,0,0,0,                    ,0,0
21/01 11:07:11,0,0,0,                    ,0,0
21/01 11:07:12,0,0,0,                    ,0,0
21/01 11:07:13,0,0,0,                    ,0,0
21/01 11:07:14,0,0,0,                    ,0,0
21/01 11:07:15,0,0,0,                    ,0,0
21/01 11:07:16,0,0,0,                    ,0,0
21/01 11:07:17,0,0,0,                    ,0,0
21/01 11:07:18,0,0,0,                    ,0,0
21/01 11:07:19,0,0,0,                    ,0,0
21/01 11:07:20,0,0,0,                    ,0,0
21/01 11:07:21,0,0,0,                    ,0,0
21/01 11:07:22,0,0,0,                    ,0,0
21/01 11:07:23,0,0,0,                    ,0,0
21/01 11:07:24,0,0,0,                    ,0,0
21/01 11:07:25,0,0,0,                    ,0,0
21/01 11:07:26,0,0,0,                    ,0,0
21/01 11:07:27,0,0,0,                    ,0,0
21/01 11:07:28,0,0,0,                    ,0,0
21/01 11:07:29,0,0,0,                    ,0,0
21/01 11:07:30,0,0,0,                    ,0,0
21/01 11:07:31,0,0,0,                    ,0,0
21/01 11:07:32,0,0,0,                    ,0,0
21/01 11:07:33,0,0,0,                    ,0,0
21/01 11:07:34,0,0,0,                    ,0,0
21/01 11:07:35,0,0,0,                    ,0,0
21/01 11:07:36,0,0,0,                    ,0,0
21/01 11:07:37,0,0,0,                    ,0,0
21/01 11:07:38,0,0,0,                    ,0,0
21/01 11:07:39,0,0,0,                    ,0,0
21/01 11:07:40,0,0,0,                    ,0,0
21/01 11:07:41,0,0,0,                    ,0,0
21/01 11:07:42,0,0,0,                    ,0,0
21/01 11:07:43,0,0,0,                    ,0,0
21/01 11:07:44,0,0,0,                    ,0,0
21/01 11:07:45,0,0,0,                    ,0,0
21/01 11:07:46,0,0,0,                    ,0,0
21/01 11:07:47,0,0,0,                    ,0,0
21/01 11:07:48,0,0,0,                    ,0,0
21/01 11:07:49,0,0,0,                    ,0,0
21/01 11:07:50,0,0,0,                    ,0,0
21/01 11:07:51,0,0,0,                    ,0,0
21/01 11:07:52,0,0,0,                    ,0,0
21/01 11:07:53,0,0,0,                    ,0,0
21/01 11:07:54,0,0,0,                    ,0,0
21/01 11:07:55,0,0,0,                    ,0,0
21/01 11:07:56,0,0,0,                    ,0,0
21/01 11:07:57,0,0,0,                    ,0,0
21/01 11:07:58,0,0,0,                    ,0,0
21/01 11:07:59,0,0,0,                    ,0,0
21/01 11:08:00,0,0,0,                    ,0,0
21/01 11:08:01,0,0,0,                    ,0,0
21/01 11:08:02,0,0,0,                    ,0,0
21/01 11:08:03,0,0,0,                    ,0,0
21/01 11:08:04,0,0,0,                    ,0,0
21/01 11:08:05,0,0,0,                    ,0,0
21/01 11:08:06,0,0,0,                    ,0,0
21/01 11:08:07,0,0,0,                    ,0,0
21/01 11:08:08,0,0,0,                    ,0,0
21/01 11:08:09,0,0,0,                    ,0,0
21/01 11:08:11,0,0,0,                    ,0,0
21/01 11:08:12,0,0,0,                    ,0,0
21/01 11:08:13,0,0,0,                    ,0,0
21/01 11:08:14,0,0,0,                    ,0,0
21/01 11:08:15,0,0,0,                    ,0,0
21/01 11:08:16,0,0,0,                    ,0,0
21/01 11:08:17,0,0,0,                    ,0,0
21/01 11:08:18,0,0,0,                    ,0,0
21/01 11:08:19,0,0,0,                    ,0,0
21/01 11:08:20,0,0,0,                    ,0,0
21/01 11:08:21,0,0,0,                    ,0,0
21/01 11:08:22,0,0,0,                    ,0,0
21/01 11:08:23,0,0,0,                    ,0,0
21/01 11:08:24,0,0,0,                    ,0,0
21/01 11:08:25,0,0,0,                    ,0,0
21/01 11:08:26,0,0,0,                    ,0,0
21/01 11:08:27,0,0,0,                    ,0,0
21/01 11:08:28,0,0,0,                    ,0,0
21/01 11:08:29,0,0,0,                    ,0,0
21/01 11:08:30,0,0,0,                    ,0,0
21/01 11:08:31,0,0,0,                    ,0,0
21/01 11:08:32,0,0,0,                    ,0,0
21/01 11:08:33,0,0,0,                    ,0,0
21/01 11:08:34,0,0,0,                    ,0,0
21/01 11:08:35,0,0,0,                    ,0,0
21/01 11:08:36,0,0,0,                    ,0,0
21/01 11:08:37,0,0,0,                    ,0,0
21/01 11:08:38,0,0,0,                    ,0,0
21/01 11:08:39,0,0,0,                    ,0,0
21/01 11:08:40,0,0,0,                    ,0,0
21/01 11:08:41,0,0,0,                    ,0,0
21/01 11:08:42,0,0,0,                    ,0,0
21/01 11:08:43,0,0,0,                    ,0,0
21/01 11:08:44,0,0,0,                    ,0,0
21/01 11:08:45,0,0,0,                    ,0,0
21/01 11:08:46,0,0,0,                    ,0,0
21/01 11:08:47,0,0,0,                    ,0,0
21/01 11:08:48,0,0,0,                    ,0,0
21/01 11:08:49,0,0,0,                    ,0,0
21/01 11:08:50,0,0,0,                    ,0,0
21/01 11:08:51,0,0,0,                    ,0,0
21/01 11:08:52,0,0,0,                    ,0,0
21/01 11:08:53,0,0,0,                    ,0,0
21/01 11:08:54,0,0,0,                    ,0,0
21/01 11:08:55,0,0,0,                    ,0,0
21/01 11:08:56,0,0,0,                    ,0,0
21/01 11:08:57,0,0,0,                    ,0,0
21/01 11:08:58,0,0,0,                    ,0,0
21/01 11:08:59,0,0,0,                    ,0,0
21/01 11:09:00,0,0,0,                    ,0,0
21/01 11:09:01,0,0,0,                    ,0,0
21/01 11:09:02,0,0,0,                    ,0,0
21/01 11:09:03,0,0,0,                    ,0,0
21/01 11:09:04,0,0,0,                    ,0,0
21/01 11:09:05,0,0,0,                    ,0,0
21/01 11:09:06,0,0,0,                    ,0,0
21/01 11:09:07,0,0,0,                    ,0,0
21/01 11:09:08,0,0,0,                    ,0,0
21/01 11:09:09,0,0,0,                    ,0,0
21/01 11:09:10,0,0,0,                    ,0,0
21/01 11:09:12,0,0,0,                    ,0,0
21/01 11:09:13,0,0,0,                    ,0,0
21/01 11:09:14,0,0,0,                    ,0,0
21/01 11:09:15,0,0,0,                    ,0,0
21/01 11:09:16,0,0,0,                    ,0,0
21/01 11:09:17,0,0,0,                    ,0,0
21/01 11:09:18,0,0,0,                    ,0,0
21/01 11:09:19,0,0,0,                    ,0,0
21/01 11:09:20,0,0,0,                    ,0,0
21/01 11:09:21,0,0,0,                    ,0,0
21/01 11:09:22,0,0,0,                    ,0,0
21/01 11:09:23,0,0,0,                    ,0,0
21/01 11:09:24,0,0,0,                    ,0,0
21/01 11:09:25,0,0,0,                    ,0,0
21/01 11:09:26,0,0,0,                    ,0,0
21/01 11:09:27,0,0,0,                    ,0,0
21/01 11:09:28,0,0,0,                    ,0,0
21/01 11:09:29,0,0,0,                    ,0,0
21/01 11:09:30,0,0,0,                    ,0,0
21/01 11:09:31,0,0,0,                    ,0,0
21/01 11:09:32,0,0,0,                    ,0,0
21/01 11:09:33,0,0,0,                    ,0,0
21/01 11:09:34,0,0,0,                    ,0,0
21/01 11:09:35,0,0,0,                    ,0,0
